<<<<<<< HEAD
﻿标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果,Column1
#,84,5,1,Brain,（闲聊，并且对[ ]说你可以自己尝试一下咖啡。）,85,,
#,85,0,1,传书,你别急，你还得交出一个关键词。,86,,
#,86,0,1,传书,嗯……如果我的一个朋友做了一个也许会影响他终生的决定，但我不认可他的决定，我应该阻止他吗？,87,,
#,87,5,1,Brain,你的意思是……干涉他人的决定？,88,,
#,88,5,1,Brain,好吧，但实际上，每个人都十分固执，就连犹豫也是一种对不确定的固执。,89,,
#,89,5,1,Brain,你既无法轻易撼动他的决定，也无法简单地抹去他的迟疑。,90,,
#,90,5,1,Brain,与其做无谓的劝说，不如为他祈祷。,91,,
#,91,0,1,传书,但如果他是我很重要的人，我总不能看着他向火坑里跳吧？,92,,
#,92,5,1,Brain,火坑？怎样才算做火坑？,93,,
#,93,5,1,Brain,是近在眼前的灾难吗？是无法改变的定律吗？是一次不利的占卜？还是地图边境上的“巨龙”？,94,,
#,94,5,1,Brain,你又如何知道，你劝说他回头的另一条路，不是比火坑更加可怖的地狱？,95,,
#,95,0,1,传书,……是长辈的经验之谈。,96,,
#,96,5,1,Brain,也就是虚无缥缈的，所谓的“我觉得”。,97,,
#,97,5,1,Brain,这甚至比谎称“在远处看到了浓烟”更没有说服力。,98,,
#,98,5,1,Brain,你看，我在说了这么多之后，也并不会让你立刻确信什么，或改变什么。,99,,
#,99,0,1,传书,……好吧，这确实给了我重新思考的空间。,100,,
#,100,5,1,Brain,没错。这就是“劝说”的唯一作用。而经过一次又一次重新思考，而且每次都会加入新的考虑之后，得出的依旧是相同的答案。,101,,
#,101,5,1,Brain,如果你仍坚信你“劝说”的正确，那么被劝说者又有什么理由怀疑他的决定的正确？,102,,
#,102,5,1,Brain,再说，用“我是为了他好”为借口的劝说，你真的就保证自己不含一点私心？,103,,
#,103,5,1,Brain,毕竟对于每个人来说，最好骗的就是他们自己。,104,,
#,104,5,1,Brain,最终发现自己的目的与所用的借口截然不同，甚至背道而驰。,105,,
#,105,5,1,Brain,当然，如果你有权利改变别人的决定……那就无所谓了。,106,,
#,106,5,1,Brain,大可以为了自己的利益随意左右他人的命运。,107,,
#,107,5,1,Brain,这没什么，这只是每个人都有的，最基本的自私。,108,,
#,108,0,1,传书,停。从刚才开始，你就一直在劝说我“不要劝说别人”。,109,,
#,109,5,1,Brain,没错。但“不要劝说别人”有一个重要的前提。,110,,
#,110,5,1,Brain,你确定你是为了他人考虑，的的确确是为了他的幸福与快乐，为了实现他的人生价值。,111,,
#,111,5,1,Brain,并且这一切都是基于他的价值观，而不是你的，或是任何一个别人的。,112,,
#,112,5,1,Brain,在这种情况下，你有远比质疑与否定更好的选择，也就是支持和鼓励。,113,,
#,113,5,1,Brain,这很简单，且每个人都十分清楚。实现<color=#FFCC00>当下的意义</color>总是比虚无的承诺或无谓的警示更有作用。,114,,
#,114,5,1,Brain,只可惜，并没有什么人是出于这种纯粹的动机。,115,,
#,115,0,1,传书,……,116,,
#,116,0,1,传书,好吧，你还得聊一些别的。比如……除了赫密士之外的其他国家。,117,,
&,117,0,1,传书,“@希伯来-119@”。,,,
&,118,0,1,传书,没了。,132,,
#,119,5,1,Brain,噢……这个话题可有些……微妙。,120,,
#,120,0,1,传书,怎么回事？,121,,
#,121,5,1,Brain,赫密士的那群天使几乎是把希伯来的<color=#FFCC00>生命之树</color>视为敌人的。,122,,
#,122,5,1,Brain,但我们恶魔本来和天使就是敌人，所以敌人的敌人就是朋友——,123,,
#,123,5,1,Brain,虽然我很想这么说。,124,,
#,124,5,1,Brain,赫密士和希伯来本是一体，是希伯来首先开始切割。,125,,
#,125,5,1,Brain,尽管我不喜欢天使，也不能去和叛徒做朋友。,126,,
#,126,4,1,[ ],你刚才的表述与我数据库中记录的历史存在出入。,127,,
#,127,4,1,[ ],正确的历史事实是——,128,,
#,128,5,1,Brain,嘿，等等，小姐，你记录的是人类的历史，对吧？,129,,
#,129,5,1,Brain,这跟我们信仰生物就没什么关系了。,130,,
#,130,0,1,传书,……真的？,131,,
#,131,5,1,Brain,当然。,132,,
#,132,0,1,传书,好了，就酱吧。,133,,
#,133,4,1,[ ],,134,Out,
#,134,5,1,Brain,,135,Out,
$,135,,,,,,,
>>>>>>> parent of 4e8203f (1)
